ENDW_COMMi,PROD_COMMj,REGr,Value
capital,mil,can_xna,0
capital,mil,cas,0
capital,mil,che,0
capital,mil,chn,0
capital,mil,cyp,0
capital,mil,cze,0
capital,mil,deu,0
capital,mil,dnk,0
capital,mil,esp,0
capital,mil,est,0
capital,mil,fin,0
capital,mil,fra,0
capital,mil,gbr,0
capital,mil,grc,0
capital,mil,hrv,0
capital,mil,hun,0
capital,mil,idn,0
capital,mil,ind,0
capital,mil,irl,0
capital,mil,ita,0
capital,mil,jpn,0
capital,mil,kor,0
capital,mil,lam_l,0
capital,mil,lam_m,0
capital,mil,ltu,0
capital,mil,lux,0
capital,mil,lva,0
capital,mil,mea_h,0
capital,mil,mea_m,0
capital,mil,mex,0
capital,mil,mlt,0
capital,mil,naf,0
capital,mil,nld,0
capital,mil,nor,0
capital,mil,oas_cpa,0
capital,mil,oas_l,0
capital,mil,oas_m,0
capital,mil,pak,0
capital,mil,pol,0
capital,mil,prt,0
capital,mil,rou,0
capital,mil,rus,0
capital,mil,ssa_l,0
capital,mil,ssa_m,0
capital,mil,svk,0
capital,mil,svn,0
capital,mil,swe,0
capital,mil,tur,0
capital,mil,twn,0
capital,mil,ukr,0
capital,mil,usa,0
capital,mil,xee,0
capital,mil,xef,0
capital,mil,xer,0
capital,mil,zaf,0
capital,min,alb,0
capital,min,anuz,0
capital,min,aut,0
capital,min,bel,0
capital,min,bgr,0
capital,min,blr,0
capital,min,bra,0
capital,min,can_xna,0
capital,min,cas,0
capital,min,che,0
capital,min,chn,0
capital,min,cyp,0
capital,min,cze,0
capital,min,deu,0
capital,min,dnk,0
capital,min,esp,0
capital,min,est,0
capital,min,fin,0
capital,min,fra,0
capital,min,gbr,0
capital,min,grc,0
capital,min,hrv,0
capital,min,hun,0
capital,min,idn,0
capital,min,ind,0
capital,min,irl,0
capital,min,ita,0
capital,min,jpn,0
capital,min,kor,0
capital,min,lam_l,0
capital,min,lam_m,0
capital,min,ltu,0
capital,min,lux,0
capital,min,lva,0
capital,min,mea_h,0
capital,min,mea_m,0
capital,min,mex,0
capital,min,mlt,0
capital,min,naf,0
capital,min,nld,0
capital,min,nor,0
capital,min,oas_cpa,0
capital,min,oas_l,0
capital,min,oas_m,0
capital,min,pak,0
capital,min,pol,0
capital,min,prt,0
capital,min,rou,0
capital,min,rus,0
capital,min,ssa_l,0
capital,min,ssa_m,0
capital,min,svk,0
capital,min,svn,0
capital,min,swe,0
capital,min,tur,0
capital,min,twn,0
capital,min,ukr,0
capital,min,usa,0
capital,min,xee,0
capital,min,xef,0
capital,min,xer,0
capital,min,zaf,0
capital,mmi,alb,0
capital,mmi,anuz,0
capital,mmi,aut,0
capital,mmi,bel,0
capital,mmi,bgr,0
capital,mmi,blr,0
capital,mmi,bra,0
capital,mmi,can_xna,0
capital,mmi,cas,0
capital,mmi,che,0
capital,mmi,chn,0
capital,mmi,cyp,0
capital,mmi,cze,0
capital,mmi,deu,0
capital,mmi,dnk,0
capital,mmi,esp,0
capital,mmi,est,0
capital,mmi,fin,0
capital,mmi,fra,0
capital,mmi,gbr,0
capital,mmi,grc,0
capital,mmi,hrv,0
capital,mmi,hun,0
capital,mmi,idn,0
capital,mmi,ind,0
capital,mmi,irl,0
capital,mmi,ita,0
capital,mmi,jpn,0
capital,mmi,kor,0
capital,mmi,lam_l,0
capital,mmi,lam_m,0
capital,mmi,ltu,0
capital,mmi,lux,0
capital,mmi,lva,0
capital,mmi,mea_h,0
capital,mmi,mea_m,0
capital,mmi,mex,0
capital,mmi,mlt,0
capital,mmi,naf,0
capital,mmi,nld,0
capital,mmi,nor,0
capital,mmi,oas_cpa,0
capital,mmi,oas_l,0
capital,mmi,oas_m,0
capital,mmi,pak,0
capital,mmi,pol,0
capital,mmi,prt,0
capital,mmi,rou,0
capital,mmi,rus,0
capital,mmi,ssa_l,0
capital,mmi,ssa_m,0
capital,mmi,svk,0
capital,mmi,svn,0
capital,mmi,swe,0
capital,mmi,tur,0
capital,mmi,twn,0
capital,mmi,ukr,0
capital,mmi,usa,0
capital,mmi,xee,0
capital,mmi,xef,0
capital,mmi,xer,0
capital,mmi,zaf,0
capital,mvo,alb,0
capital,mvo,anuz,0
capital,mvo,aut,0
capital,mvo,bel,0
capital,mvo,bgr,0
capital,mvo,blr,0
capital,mvo,bra,0
capital,mvo,can_xna,0
capital,mvo,cas,0
capital,mvo,che,0
capital,mvo,chn,0
capital,mvo,cyp,0
capital,mvo,cze,0
capital,mvo,deu,0
capital,mvo,dnk,0
capital,mvo,esp,0
capital,mvo,est,0
capital,mvo,fin,0
capital,mvo,fra,0
capital,mvo,gbr,0
capital,mvo,grc,0
capital,mvo,hrv,0
capital,mvo,hun,0
capital,mvo,idn,0
capital,mvo,ind,0
capital,mvo,irl,0
capital,mvo,ita,0
capital,mvo,jpn,0
capital,mvo,kor,0
capital,mvo,lam_l,0
capital,mvo,lam_m,0
capital,mvo,ltu,0
capital,mvo,lux,0
capital,mvo,lva,0
capital,mvo,mea_h,0
capital,mvo,mea_m,0
capital,mvo,mex,0
capital,mvo,mlt,0
capital,mvo,naf,0
capital,mvo,nld,0
capital,mvo,nor,0
capital,mvo,oas_cpa,0
capital,mvo,oas_l,0
capital,mvo,oas_m,0
capital,mvo,pak,0
capital,mvo,pol,0
capital,mvo,prt,0
capital,mvo,rou,0
capital,mvo,rus,0
capital,mvo,ssa_l,0
capital,mvo,ssa_m,0
capital,mvo,svk,0
capital,mvo,svn,0
capital,mvo,swe,0
capital,mvo,tur,0
capital,mvo,twn,0
capital,mvo,ukr,0
capital,mvo,usa,0
capital,mvo,xee,0
capital,mvo,xef,0
capital,mvo,xer,0
capital,mvo,zaf,0
capital,nmm,alb,0
capital,nmm,anuz,0
capital,nmm,aut,0
capital,nmm,bel,0
capital,nmm,bgr,0
capital,nmm,blr,0
capital,nmm,bra,0
capital,nmm,can_xna,0
capital,nmm,cas,0
capital,nmm,che,0
capital,nmm,chn,0
capital,nmm,cyp,0
capital,nmm,cze,0
capital,nmm,deu,0
capital,nmm,dnk,0
capital,nmm,esp,0
capital,nmm,est,0
capital,nmm,fin,0
capital,nmm,fra,0
capital,nmm,gbr,0
capital,nmm,grc,0
capital,nmm,hrv,0
capital,nmm,hun,0
capital,nmm,idn,0
capital,nmm,ind,0
capital,nmm,irl,0
capital,nmm,ita,0
capital,nmm,jpn,0
capital,nmm,kor,0
capital,nmm,lam_l,0
capital,nmm,lam_m,0
capital,nmm,ltu,0
capital,nmm,lux,0
capital,nmm,lva,0
capital,nmm,mea_h,0
capital,nmm,mea_m,0
capital,nmm,mex,0
capital,nmm,mlt,0
capital,nmm,naf,0
capital,nmm,nld,0
capital,nmm,nor,0
capital,nmm,oas_cpa,0
capital,nmm,oas_l,0
capital,nmm,oas_m,0
