ENDW_COMMi,PROD_COMMj,REGr,Value
capital,omt,efta,0
capital,omt,eu12_h,0
capital,omt,eu12_m,0
capital,omt,eu15,0
capital,omt,idn,0
capital,omt,ind,0
capital,omt,jpn,0
capital,omt,kor,0
capital,omt,lam_l,0
capital,omt,lam_m,0
capital,omt,mea_h,0
capital,omt,mea_m,0
capital,omt,mex,0
capital,omt,naf,0
capital,omt,oas_cpa,0
capital,omt,oas_l,0
capital,omt,oas_m,0
capital,omt,pak,0
capital,omt,rus,0
capital,omt,ssa_l,0
capital,omt,ssa_m,0
capital,omt,tur,0
capital,omt,twn,0
capital,omt,usa,0
capital,omt,zaf,0
capital,osd,anuz,0
capital,osd,bra,0
capital,osd,can_xna,0
capital,osd,cas,0
capital,osd,chn,0
capital,osd,eeu,0
capital,osd,eeu_fsu,0
capital,osd,efta,0
capital,osd,eu12_h,0
capital,osd,eu12_m,0
capital,osd,eu15,0
capital,osd,idn,0
capital,osd,ind,0
capital,osd,jpn,0
capital,osd,kor,0
capital,osd,lam_l,0
capital,osd,lam_m,0
capital,osd,mea_h,0
capital,osd,mea_m,0
capital,osd,mex,0
capital,osd,naf,0
capital,osd,oas_cpa,0
capital,osd,oas_l,0
capital,osd,oas_m,0
capital,osd,pak,0
capital,osd,rus,0
capital,osd,ssa_l,0
capital,osd,ssa_m,0
capital,osd,tur,0
capital,osd,twn,0
capital,osd,usa,0
capital,osd,zaf,0
capital,osg,anuz,0
capital,osg,bra,0
capital,osg,can_xna,0
capital,osg,cas,0
capital,osg,chn,0
capital,osg,eeu,0
capital,osg,eeu_fsu,0
capital,osg,efta,0
capital,osg,eu12_h,0
capital,osg,eu12_m,0
capital,osg,eu15,0
capital,osg,idn,0
capital,osg,ind,0
capital,osg,jpn,0
capital,osg,kor,0
capital,osg,lam_l,0
capital,osg,lam_m,0
capital,osg,mea_h,0
capital,osg,mea_m,0
capital,osg,mex,0
capital,osg,naf,0
capital,osg,oas_cpa,0
capital,osg,oas_l,0
capital,osg,oas_m,0
capital,osg,pak,0
capital,osg,rus,0
capital,osg,ssa_l,0
capital,osg,ssa_m,0
capital,osg,tur,0
capital,osg,twn,0
capital,osg,usa,0
capital,osg,zaf,0
capital,p_c,anuz,0
capital,p_c,bra,0
capital,p_c,can_xna,0
capital,p_c,cas,0
capital,p_c,chn,0
capital,p_c,eeu,0
capital,p_c,eeu_fsu,0
capital,p_c,efta,0
capital,p_c,eu12_h,0
capital,p_c,eu12_m,0
capital,p_c,eu15,0
capital,p_c,idn,0
capital,p_c,ind,0
capital,p_c,jpn,0
capital,p_c,kor,0
capital,p_c,lam_l,0
capital,p_c,lam_m,0
capital,p_c,mea_h,0
capital,p_c,mea_m,0
capital,p_c,mex,0
capital,p_c,naf,0
capital,p_c,oas_cpa,0
capital,p_c,oas_l,0
capital,p_c,oas_m,0
capital,p_c,pak,0
capital,p_c,rus,0
capital,p_c,ssa_l,0
capital,p_c,ssa_m,0
capital,p_c,tur,0
capital,p_c,twn,0
capital,p_c,usa,0
capital,p_c,zaf,0
capital,pcr,anuz,0
capital,pcr,bra,0
capital,pcr,can_xna,0
capital,pcr,cas,0
capital,pcr,chn,0
capital,pcr,eeu,0
capital,pcr,eeu_fsu,0
capital,pcr,efta,0
capital,pcr,eu12_h,0
capital,pcr,eu12_m,0
capital,pcr,eu15,0
capital,pcr,idn,0
capital,pcr,ind,0
capital,pcr,jpn,0
capital,pcr,kor,0
capital,pcr,lam_l,0
capital,pcr,lam_m,0
capital,pcr,mea_h,0
capital,pcr,mea_m,0
capital,pcr,mex,0
capital,pcr,naf,0
capital,pcr,oas_cpa,0
capital,pcr,oas_l,0
capital,pcr,oas_m,0
capital,pcr,pak,0
capital,pcr,rus,0
capital,pcr,ssa_l,0
capital,pcr,ssa_m,0
capital,pcr,tur,0
capital,pcr,twn,0
capital,pcr,usa,0
capital,pcr,zaf,0
capital,pdr,anuz,0
capital,pdr,bra,0
capital,pdr,can_xna,0
capital,pdr,cas,0
capital,pdr,chn,0
capital,pdr,eeu,0
capital,pdr,eeu_fsu,0
capital,pdr,efta,0
capital,pdr,eu12_h,0
capital,pdr,eu12_m,0
