"NUTS2.Code","ISO2","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"PL42","PL",11.16,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL43","PL",17.85,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL51","PL",10.5,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL52","PL",10.5,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL61","PL",11.01,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL62","PL",11.01,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL63","PL",11.01,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL71","PL",17.7,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL72","PL",13.17,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL81","PL",12.33,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL82","PL",13.23,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL84","PL",11.25,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL91","PL",12.66,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL92","PL",12.21,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"RO11","RO",14.82,0,0,5.127906816,0,0,0.45684,0,0,0,0,0,0,0
"RO12","RO",15,0,0,5.127906816,0,0,0.45684,0,0,0,0,0,0,0
"RO21","RO",16.74,0,0,5.127906816,0,0,0.45684,0,0,0,0,0,0,0
"RO22","RO",19.98,0,0,5.127906816,0,0,0.45684,0,0,0,0,0,0,0
"RO31","RO",19.8,0,0,5.127906816,0,0,0.45684,0,0,0,0,0,0,0
"RO32","RO",22.47,0,0,5.127906816,0,0,0.45684,0,0,0,0,0,0,0
"RO41","RO",19.26,0,0,5.127906816,0,0,0.45684,0,0,0,0,0,0,0
"RO42","RO",14.91,0,0,5.127906816,0,0,0.45684,0,0,0,0,0,0,0
"SI03","SI",15.21,0,0,4.0058410944,0,0,2.14602,0,0,0,0,0,0,0
"SI04","SI",16.26,0,0,4.0058410944,0,0,2.14602,0,0,0,0,0,0,0
"SK01","SK",19.53,0,0,2.9723288859,0,0,1.51152,0,0,0,0,0,0,0
"SK02","SK",19.53,0,0,2.9723288859,0,0,1.51152,0,0,0,0,0,0,0
"SK03","SK",19.53,0,0,2.9723288859,0,0,1.51152,0,0,0,0,0,0,0
"SK04","SK",19.53,0,0,2.9723288859,0,0,1.51152,0,0,0,0,0,0,0
